anio;mes;indice_manufacturas_mensual;indice_comercio_mensual;indice_construccion_mensual;indice_servicios_mensual;indice_de_actividad_empresarial_no_petrolera_total_mensual
2003;1;100;100;100;100;100
2003;2;99.490;100.297;100.013;100.570;100.081
2003;3;98.254;98.063;97.899;100.298;98.588
2003;4;98.937;99.946;97.590;104.152;99.994
2003;5;101.657;100.805;96.961;103.751;100.588
2003;6;101.860;100.055;96.987;103.729;100.466
2003;7;102.561;101.914;97.528;105.583;101.653
2003;8;101.235;101.170;96.535;104.731;100.668
2003;9;102.025;102.316;96.367;106.068;101.379
2003;10;101.880;102.051;96.272;106.158;101.275
2003;11;101.099;101.561;95.330;106.129;100.681
2003;12;101.693;100.784;94.157;103.247;99.642
2004;1;102.871;103.510;96.534;106.319;101.967
2004;2;106.417;104.179;97.212;107.277;103.401
2004;3;107.844;105.794;97.579;106.919;104.142
2004;4;108.420;105.425;97.296;107.215;104.177
2004;5;106.551;105.379;97.854;107.620;103.982
2004;6;108.253;106.775;99.490;107.792;105.243
2004;7;109.682;107.856;98.433;106.991;105.325
2004;8;110.734;107.814;97.361;108.305;105.540
2004;9;112.270;108.345;98.030;109.007;106.389
2004;10;113.095;109.620;98.249;109.096;106.960
2004;11;114.763;110.747;99.002;110.497;108.162
2004;12;115.839;112.353;99.872;112.136;109.427
2005;1;116.653;110.801;99.253;112.653;109.188
2005;2;117.864;112.247;99.557;114.568;110.332
2005;3;118.276;112.979;99.906;113.992;110.572
2005;4;119.966;114.639;100.773;116.110;112.098
2005;5;119.096;113.474;99.764;115.926;111.271
2005;6;119.924;115.354;99.999;117.967;112.426
2005;7;120.175;114.027;98.751;117.462;111.668
2005;8;122.022;115.259;100.980;118.698;113.365
2005;9;123.057;115.691;101.428;119.534;114.033
2005;10;123.461;115.398;100.430;120.018;113.847
2005;11;126.132;116.545;99.476;121.022;114.628
2005;12;126.793;115.980;101.290;120.678;115.159
2006;1;129.698;117.749;102.227;120.963;116.582
2006;2;129.871;117.607;101.665;122.967;116.858
2006;3;133.351;119.570;103.076;123.500;118.661
2006;4;133.280;119.202;101.610;122.095;117.759
2006;5;135.862;120.913;103.203;123.089;119.465
2006;6;136.684;120.595;103.020;123.870;119.689
2006;7;137.531;120.103;103.999;123.843;120.074
2006;8;140.203;122.595;103.965;123.777;121.196
2006;9;140.601;122.810;103.864;124.081;121.367
2006;10;140.819;122.174;103.483;124.604;121.261
2006;11;141.091;122.849;103.067;125.043;121.436
2006;12;143.115;121.574;103.405;127.940;122.343
2007;1;144.470;124.661;105.439;127.641;123.960
2007;2;144.237;124.816;104.193;127.907;123.590
2007;3;144.551;123.940;104.047;129.051;123.665
2007;4;144.878;123.455;103.929;127.755;123.286
2007;5;147.626;124.537;105.101;129.599;124.930
2007;6;149.829;124.675;104.968;129.298;125.305
2007;7;150.632;125.560;104.045;129.271;125.355
2007;8;152.169;126.583;104.550;130.088;126.268
2007;9;152.798;124.847;104.322;129.336;125.741
2007;10;155.867;127.596;106.804;130.665;128.162
2007;11;159.343;128.498;106.355;130.435;128.864
2007;12;159.850;129.575;106.581;129.182;128.998
2008;1;162.566;128.827;105.730;131.654;129.647
2008;2;164.229;128.702;106.592;131.412;130.187
2008;3;165.560;128.222;106.627;132.429;130.584
2008;4;168.731;130.202;108.194;133.743;132.520
2008;5;169.287;129.724;107.634;133.578;132.281
2008;6;169.082;130.512;108.100;134.341;132.769
2008;7;169.942;130.499;108.839;134.631;133.258
2008;8;170.015;131.145;108.995;135.789;133.750
2008;9;171.539;131.932;109.599;136.616;134.636
2008;10;171.834;131.761;109.137;136.552;134.476
2008;11;171.419;131.986;109.063;136.034;134.302
2008;12;170.877;132.000;109.647;137.240;134.686
2009;1;170.169;131.243;109.282;135.639;133.868
2009;2;170.281;132.273;109.172;135.023;133.951
2009;3;169.724;133.302;110.680;136.502;134.956
2009;4;168.404;131.996;110.472;135.340;134.044
2009;5;168.272;132.502;109.176;135.046;133.620
2009;6;169.779;132.690;109.918;136.381;134.529
2009;7;172.827;134.462;110.574;136.213;135.727
2009;8;172.384;132.038;109.891;135.308;134.619
2009;9;174.929;134.445;109.358;136.681;135.812
2009;10;174.811;134.497;110.319;137.263;136.276
2009;11;175.760;133.723;110.895;137.644;136.567
2009;12;176.920;136.128;110.212;139.045;137.445
2010;1;178.181;135.204;109.937;138.670;137.283
2010;2;181.000;136.478;109.219;139.030;137.944
2010;3;184.434;138.375;110.245;140.138;139.662
2010;4;185.699;137.875;109.978;139.520;139.537
2010;5;186.241;136.990;110.240;139.447;139.506
2010;6;188.257;137.993;110.496;139.970;140.331
2010;7;189.493;139.094;110.521;141.218;141.123
2010;8;192.503;138.921;109.751;141.519;141.421
2010;9;193.949;139.385;110.915;142.195;142.379
2010;10;197.285;140.486;110.236;142.458;143.054
2010;11;198.317;140.180;110.286;142.174;143.116
2010;12;201.979;141.835;112.034;143.286;145.069
2011;1;204.379;141.864;110.603;143.608;145.045
2011;2;207.286;142.359;111.823;144.383;146.310
2011;3;206.951;141.701;111.562;143.913;145.885
2011;4;207.140;142.259;112.413;145.984;146.863
2011;5;207.592;142.532;112.071;145.077;146.664
2011;6;210.443;144.076;111.988;146.266;147.781
2011;7;211.194;141.980;112.049;146.095;147.390
2011;8;213.718;144.615;113.257;145.899;148.861
2011;9;213.208;145.269;112.616;146.683;148.878
2011;10;213.382;143.090;112.922;145.648;148.252
2011;11;213.392;144.403;113.315;146.821;148.998
2011;12;215.647;145.713;113.061;146.544;149.537
2012;1;213.376;144.358;113.878;146.172;149.038
2012;2;214.061;144.971;113.891;147.038;149.517
2012;3;216.460;146.674;114.102;147.839;150.609
2012;4;218.033;145.883;113.577;146.157;150.083
2012;5;221.099;147.576;115.150;147.906;152.025
2012;6;221.807;147.477;115.413;146.758;151.939
2012;7;220.527;148.267;116.229;146.890;152.248
2012;8;220.566;147.658;116.788;147.650;152.502
2012;9;219.716;145.964;116.852;145.654;151.484
2012;10;221.772;147.443;117.104;147.341;152.697
2012;11;222.797;148.365;117.518;147.943;153.395
2012;12;222.502;146.759;117.645;147.327;152.853
2013;1;223.115;148.407;117.950;147.838;153.593
2013;2;221.918;147.472;117.298;146.288;152.542
2013;3;223.219;147.780;118.191;147.001;153.342
2013;4;225.428;148.767;117.758;148.134;154.072
2013;5;226.667;149.102;118.440;148.131;154.614
2013;6;225.636;147.896;118.006;146.775;153.654
2013;7;226.762;148.594;118.892;147.767;154.585
2013;8;225.823;148.794;119.489;146.686;154.426
2013;9;227.504;148.483;118.722;147.666;154.595
2013;10;229.094;149.439;120.349;148.052;155.789
2013;11;230.862;148.909;120.151;148.327;155.951
2013;12;229.164;148.031;119.396;147.518;154.975
2014;1;229.728;148.948;118.845;146.705;154.885
2014;2;229.933;148.893;120.439;147.491;155.690
2014;3;228.721;148.443;119.208;146.109;154.586
2014;4;229.479;149.581;120.245;146.482;155.474
2014;5;229.320;150.574;119.384;146.926;155.471
2014;6;228.954;150.241;119.910;147.288;155.611
2014;7;229.670;150.730;119.555;147.557;155.783
2014;8;231.064;151.102;119.384;148.842;156.365
2014;9;231.179;152.696;120.618;149.072;157.287
2014;10;230.165;153.360;120.044;146.611;156.477
2014;11;229.120;153.605;120.994;146.917;156.777
2014;12;229.177;154.318;120.922;147.446;157.055
2015;1;227.561;152.358;119.394;145.946;155.379
2015;2;227.283;152.587;119.380;145.340;155.241
2015;3;227.958;152.566;120.087;145.526;155.670
2015;4;225.843;152.093;119.316;145.983;155.035
2015;5;225.940;149.672;119.054;144.355;153.963
2015;6;225.776;150.561;120.104;145.481;154.818
2015;7;224.157;149.314;119.476;145.040;153.894
2015;8;222.886;147.251;119.162;144.152;152.841
2015;9;221.623;146.767;118.709;144.772;152.473
2015;10;220.746;146.058;118.166;146.560;152.336
2015;11;218.391;145.403;116.471;143.941;150.529
2015;12;217.527;145.093;116.312;143.999;150.256
2016;1;215.258;144.303;116.587;143.964;149.781
2016;2;214.659;145.070;116.526;144.010;149.853
2016;3;213.121;144.043;115.638;143.941;148.987
